================ Training Loss (Sun Feb 15 22:10:08 2026) ================
[Rank 0] (epoch: 295, iters: 20, time: 0.031, data: 0.056) , G_GAN: 0.986, G_L1: 3.008, D_real: 0.495, D_fake: 0.524

[Rank 0] (epoch: 300, iters: 20, time: 0.053, data: 0.058) , G_GAN: 1.038, G_L1: 2.942, D_real: 0.472, D_fake: 0.547

[Rank 0] (epoch: 305, iters: 20, time: 0.030, data: 0.063) , G_GAN: 1.318, G_L1: 2.897, D_real: 0.389, D_fake: 0.670

[Rank 0] (epoch: 310, iters: 20, time: 0.029, data: 0.066) , G_GAN: 0.680, G_L1: 2.884, D_real: 0.764, D_fake: 0.349

[Rank 0] (epoch: 315, iters: 20, time: 0.032, data: 0.061) , G_GAN: 0.728, G_L1: 2.878, D_real: 0.730, D_fake: 0.379

[Rank 0] (epoch: 320, iters: 20, time: 0.082, data: 0.068) , G_GAN: 0.981, G_L1: 2.910, D_real: 0.508, D_fake: 0.544

[Rank 0] (epoch: 325, iters: 20, time: 0.029, data: 0.058) , G_GAN: 0.721, G_L1: 2.726, D_real: 0.687, D_fake: 0.403

[Rank 0] (epoch: 330, iters: 20, time: 0.031, data: 0.060) , G_GAN: 0.983, G_L1: 2.768, D_real: 0.498, D_fake: 0.463

[Rank 0] (epoch: 335, iters: 20, time: 0.029, data: 0.061) , G_GAN: 1.112, G_L1: 2.741, D_real: 0.409, D_fake: 0.573

[Rank 0] (epoch: 340, iters: 20, time: 0.058, data: 0.062) , G_GAN: 0.968, G_L1: 2.712, D_real: 0.537, D_fake: 0.422

[Rank 0] (epoch: 345, iters: 20, time: 0.029, data: 0.059) , G_GAN: 1.023, G_L1: 2.688, D_real: 0.466, D_fake: 0.496

[Rank 0] (epoch: 350, iters: 20, time: 0.029, data: 0.062) , G_GAN: 0.900, G_L1: 2.648, D_real: 0.558, D_fake: 0.456

[Rank 0] (epoch: 355, iters: 20, time: 0.031, data: 0.066) , G_GAN: 0.919, G_L1: 2.664, D_real: 0.558, D_fake: 0.457

[Rank 0] (epoch: 360, iters: 20, time: 0.056, data: 0.058) , G_GAN: 1.023, G_L1: 2.739, D_real: 0.459, D_fake: 0.477

[Rank 0] (epoch: 365, iters: 20, time: 0.031, data: 0.055) , G_GAN: 0.983, G_L1: 2.664, D_real: 0.512, D_fake: 0.468

[Rank 0] (epoch: 370, iters: 20, time: 0.029, data: 0.058) , G_GAN: 1.032, G_L1: 2.615, D_real: 0.516, D_fake: 0.409

[Rank 0] (epoch: 375, iters: 20, time: 0.031, data: 0.058) , G_GAN: 1.089, G_L1: 2.668, D_real: 0.426, D_fake: 0.462

[Rank 0] (epoch: 380, iters: 20, time: 0.083, data: 0.058) , G_GAN: 0.998, G_L1: 2.686, D_real: 0.504, D_fake: 0.455

[Rank 0] (epoch: 385, iters: 20, time: 0.030, data: 0.062) , G_GAN: 1.004, G_L1: 2.634, D_real: 0.424, D_fake: 0.504

[Rank 0] (epoch: 390, iters: 20, time: 0.030, data: 0.059) , G_GAN: 0.981, G_L1: 2.623, D_real: 0.473, D_fake: 0.489

[Rank 0] (epoch: 395, iters: 20, time: 0.032, data: 0.057) , G_GAN: 1.034, G_L1: 2.613, D_real: 0.475, D_fake: 0.455

[Rank 0] (epoch: 400, iters: 20, time: 0.061, data: 0.066) , G_GAN: 1.078, G_L1: 2.646, D_real: 0.500, D_fake: 0.435

================ Training Loss (Mon Feb 16 09:23:27 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.235, data: 0.068) , G_GAN: 1.530, G_L1: 6.526, D_real: 1.355, D_fake: 0.193

[Rank 0] (epoch: 1, iters: 200, time: 0.228, data: 0.002) , G_GAN: 1.115, G_L1: 7.311, D_real: 0.393, D_fake: 0.568

[Rank 0] (epoch: 1, iters: 300, time: 0.234, data: 0.002) , G_GAN: 1.146, G_L1: 6.538, D_real: 0.448, D_fake: 0.656

[Rank 0] (epoch: 1, iters: 400, time: 0.422, data: 0.002) , G_GAN: 1.151, G_L1: 5.806, D_real: 0.397, D_fake: 0.868

[Rank 0] (epoch: 1, iters: 500, time: 0.235, data: 0.002) , G_GAN: 1.219, G_L1: 10.627, D_real: 0.850, D_fake: 0.153

[Rank 0] (epoch: 2, iters: 50, time: 0.235, data: 0.002) , G_GAN: 1.075, G_L1: 7.458, D_real: 0.649, D_fake: 0.465

[Rank 0] (epoch: 2, iters: 150, time: 0.234, data: 0.002) , G_GAN: 1.341, G_L1: 8.025, D_real: 0.198, D_fake: 0.368

[Rank 0] (epoch: 2, iters: 250, time: 0.402, data: 0.002) , G_GAN: 0.915, G_L1: 5.766, D_real: 0.125, D_fake: 0.984

[Rank 0] (epoch: 2, iters: 350, time: 0.229, data: 0.002) , G_GAN: 1.273, G_L1: 8.268, D_real: 0.347, D_fake: 0.652

[Rank 0] (epoch: 2, iters: 450, time: 0.231, data: 0.002) , G_GAN: 1.294, G_L1: 8.479, D_real: 0.300, D_fake: 0.777

[Rank 0] (epoch: 2, iters: 550, time: 0.224, data: 0.002) , G_GAN: 1.193, G_L1: 4.912, D_real: 1.624, D_fake: 0.225

[Rank 0] (epoch: 3, iters: 100, time: 0.385, data: 0.084) , G_GAN: 1.310, G_L1: 9.934, D_real: 0.880, D_fake: 1.044

[Rank 0] (epoch: 3, iters: 200, time: 0.231, data: 0.002) , G_GAN: 1.190, G_L1: 5.328, D_real: 0.910, D_fake: 0.491

[Rank 0] (epoch: 3, iters: 300, time: 0.251, data: 0.002) , G_GAN: 1.235, G_L1: 7.797, D_real: 0.696, D_fake: 0.307

[Rank 0] (epoch: 3, iters: 400, time: 0.234, data: 0.002) , G_GAN: 1.639, G_L1: 7.738, D_real: 0.375, D_fake: 0.304

[Rank 0] (epoch: 3, iters: 500, time: 0.121, data: 0.002) , G_GAN: 1.126, G_L1: 5.698, D_real: 0.506, D_fake: 0.559

