================ Training Loss (Tue Mar  3 09:14:31 2026) ================
[Rank 0] (epoch: 53, iters: 60, time: 0.588, data: 0.003) , G_GAN: 1.205, G_L1: 0.451, D_real: 0.027, D_fake: 0.058, G_FM: 18.883

[Rank 0] (epoch: 54, iters: 40, time: 1.432, data: 0.003) , G_GAN: 0.750, G_L1: 0.439, D_real: 0.122, D_fake: 0.047, G_FM: 19.578

[Rank 0] (epoch: 55, iters: 20, time: 0.623, data: 0.003) , G_GAN: 0.258, G_L1: 0.390, D_real: 0.181, D_fake: 0.054, G_FM: 18.454

[Rank 0] (epoch: 55, iters: 120, time: 0.593, data: 0.003) , G_GAN: 0.964, G_L1: 0.392, D_real: 0.025, D_fake: 0.086, G_FM: 18.080

[Rank 0] (epoch: 56, iters: 100, time: 0.586, data: 0.147) , G_GAN: 0.771, G_L1: 0.425, D_real: 0.025, D_fake: 0.102, G_FM: 20.263

[Rank 0] (epoch: 57, iters: 80, time: 1.405, data: 0.003) , G_GAN: 0.620, G_L1: 0.412, D_real: 0.018, D_fake: 0.074, G_FM: 20.244

[Rank 0] (epoch: 58, iters: 60, time: 0.587, data: 0.003) , G_GAN: 1.516, G_L1: 0.446, D_real: 0.123, D_fake: 0.051, G_FM: 19.858

[Rank 0] (epoch: 59, iters: 40, time: 0.618, data: 0.004) , G_GAN: 1.104, G_L1: 0.438, D_real: 0.034, D_fake: 0.033, G_FM: 20.549

[Rank 0] (epoch: 60, iters: 20, time: 0.588, data: 0.005) , G_GAN: 0.972, G_L1: 0.493, D_real: 0.116, D_fake: 0.078, G_FM: 22.974

[Rank 0] (epoch: 60, iters: 120, time: 1.416, data: 0.003) , G_GAN: 0.983, G_L1: 0.501, D_real: 0.043, D_fake: 0.044, G_FM: 21.845

[Rank 0] (epoch: 61, iters: 100, time: 0.587, data: 0.148) , G_GAN: 0.984, G_L1: 0.443, D_real: 0.022, D_fake: 0.026, G_FM: 21.194

[Rank 0] (epoch: 62, iters: 80, time: 0.589, data: 0.003) , G_GAN: 1.411, G_L1: 0.415, D_real: 0.103, D_fake: 0.034, G_FM: 21.520

[Rank 0] (epoch: 63, iters: 60, time: 0.608, data: 0.003) , G_GAN: 0.525, G_L1: 0.441, D_real: 0.242, D_fake: 0.012, G_FM: 19.938

[Rank 0] (epoch: 64, iters: 40, time: 1.438, data: 0.004) , G_GAN: 0.911, G_L1: 0.426, D_real: 0.042, D_fake: 0.060, G_FM: 21.798

[Rank 0] (epoch: 65, iters: 20, time: 0.593, data: 0.003) , G_GAN: 0.801, G_L1: 0.727, D_real: 0.419, D_fake: 0.637, G_FM: 12.549

[Rank 0] (epoch: 65, iters: 120, time: 0.589, data: 0.003) , G_GAN: 0.784, G_L1: 0.426, D_real: 0.082, D_fake: 0.413, G_FM: 14.139

[Rank 0] (epoch: 66, iters: 100, time: 0.607, data: 0.144) , G_GAN: 0.834, G_L1: 0.404, D_real: 0.197, D_fake: 0.168, G_FM: 18.039

[Rank 0] (epoch: 67, iters: 80, time: 1.402, data: 0.003) , G_GAN: 0.711, G_L1: 0.403, D_real: 0.056, D_fake: 0.047, G_FM: 19.318

[Rank 0] (epoch: 68, iters: 60, time: 0.619, data: 0.003) , G_GAN: 0.731, G_L1: 0.382, D_real: 0.030, D_fake: 0.076, G_FM: 18.879

[Rank 0] (epoch: 69, iters: 40, time: 0.629, data: 0.003) , G_GAN: 0.829, G_L1: 0.384, D_real: 0.132, D_fake: 0.082, G_FM: 17.229

[Rank 0] (epoch: 70, iters: 20, time: 0.633, data: 0.004) , G_GAN: 0.665, G_L1: 0.429, D_real: 0.086, D_fake: 0.077, G_FM: 18.805

[Rank 0] (epoch: 70, iters: 120, time: 1.518, data: 0.003) , G_GAN: 0.674, G_L1: 0.382, D_real: 0.064, D_fake: 0.074, G_FM: 17.968

[Rank 0] (epoch: 71, iters: 100, time: 0.598, data: 0.152) , G_GAN: 0.520, G_L1: 0.409, D_real: 0.277, D_fake: 0.019, G_FM: 18.535

[Rank 0] (epoch: 72, iters: 80, time: 0.589, data: 0.003) , G_GAN: 0.737, G_L1: 0.419, D_real: 0.069, D_fake: 0.026, G_FM: 18.464

[Rank 0] (epoch: 73, iters: 60, time: 0.589, data: 0.004) , G_GAN: 0.654, G_L1: 0.375, D_real: 0.172, D_fake: 0.103, G_FM: 17.991

[Rank 0] (epoch: 74, iters: 40, time: 1.488, data: 0.004) , G_GAN: 0.785, G_L1: 0.421, D_real: 0.062, D_fake: 0.226, G_FM: 19.527

[Rank 0] (epoch: 75, iters: 20, time: 0.589, data: 0.003) , G_GAN: 0.869, G_L1: 0.450, D_real: 0.028, D_fake: 0.035, G_FM: 19.362

[Rank 0] (epoch: 75, iters: 120, time: 0.591, data: 0.003) , G_GAN: 0.667, G_L1: 0.416, D_real: 0.258, D_fake: 0.012, G_FM: 18.150

[Rank 0] (epoch: 76, iters: 100, time: 0.610, data: 0.151) , G_GAN: 0.880, G_L1: 0.435, D_real: 0.052, D_fake: 0.093, G_FM: 20.114

[Rank 0] (epoch: 77, iters: 80, time: 1.567, data: 0.003) , G_GAN: 1.049, G_L1: 0.404, D_real: 0.065, D_fake: 0.020, G_FM: 20.527

[Rank 0] (epoch: 78, iters: 60, time: 0.590, data: 0.003) , G_GAN: 1.147, G_L1: 0.441, D_real: 0.074, D_fake: 0.061, G_FM: 20.044

[Rank 0] (epoch: 79, iters: 40, time: 0.589, data: 0.003) , G_GAN: 0.548, G_L1: 0.434, D_real: 0.148, D_fake: 0.157, G_FM: 20.663

[Rank 0] (epoch: 80, iters: 20, time: 0.625, data: 0.003) , G_GAN: 0.662, G_L1: 0.375, D_real: 0.130, D_fake: 0.025, G_FM: 20.749

[Rank 0] (epoch: 80, iters: 120, time: 1.416, data: 0.004) , G_GAN: 0.700, G_L1: 0.399, D_real: 0.052, D_fake: 0.271, G_FM: 19.319

[Rank 0] (epoch: 81, iters: 100, time: 0.592, data: 0.150) , G_GAN: 0.460, G_L1: 0.410, D_real: 0.208, D_fake: 0.109, G_FM: 14.018

[Rank 0] (epoch: 82, iters: 80, time: 0.589, data: 0.003) , G_GAN: 0.692, G_L1: 0.373, D_real: 0.047, D_fake: 0.055, G_FM: 18.963

[Rank 0] (epoch: 83, iters: 60, time: 0.625, data: 0.003) , G_GAN: 0.808, G_L1: 0.412, D_real: 0.059, D_fake: 0.229, G_FM: 18.979

