================ Training Loss (Wed Mar  4 15:35:10 2026) ================
[Rank 0] (epoch: 11, iters: 200, time: 0.326, data: 0.003) , G_GAN: 0.845, G_L1: 14.660, G_delta_bg: 0.000, D_real: 0.017, D_fake: 0.022

================ Training Loss (Wed Mar  4 15:54:18 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.314, data: 0.201) , G_GAN: 0.901, G_L1: 15.693, G_delta_bg: 0.000, D_real: 0.074, D_fake: 0.050

[Rank 0] (epoch: 1, iters: 200, time: 0.307, data: 0.005) , G_GAN: 0.934, G_L1: 14.910, G_delta_bg: 0.000, D_real: 0.039, D_fake: 0.033

[Rank 0] (epoch: 2, iters: 60, time: 0.308, data: 0.003) , G_GAN: 0.956, G_L1: 14.856, G_delta_bg: 0.000, D_real: 0.028, D_fake: 0.021

[Rank 0] (epoch: 2, iters: 160, time: 1.112, data: 0.003) , G_GAN: 1.032, G_L1: 15.178, G_delta_bg: 0.000, D_real: 0.098, D_fake: 0.078

[Rank 0] (epoch: 3, iters: 20, time: 0.313, data: 0.004) , G_GAN: 1.041, G_L1: 15.306, G_delta_bg: 0.000, D_real: 0.021, D_fake: 0.015

[Rank 0] (epoch: 3, iters: 120, time: 0.315, data: 0.004) , G_GAN: 1.010, G_L1: 15.102, G_delta_bg: 0.000, D_real: 0.028, D_fake: 0.031

[Rank 0] (epoch: 3, iters: 220, time: 0.309, data: 0.004) , G_GAN: 0.991, G_L1: 14.842, G_delta_bg: 0.000, D_real: 0.008, D_fake: 0.006

[Rank 0] (epoch: 4, iters: 80, time: 1.099, data: 0.004) , G_GAN: 1.009, G_L1: 15.576, G_delta_bg: 0.000, D_real: 0.010, D_fake: 0.008

[Rank 0] (epoch: 4, iters: 180, time: 0.309, data: 0.004) , G_GAN: 0.966, G_L1: 14.795, G_delta_bg: 0.000, D_real: 0.010, D_fake: 0.006

[Rank 0] (epoch: 5, iters: 40, time: 0.309, data: 0.004) , G_GAN: 1.012, G_L1: 15.155, G_delta_bg: 0.000, D_real: 0.006, D_fake: 0.004

[Rank 0] (epoch: 5, iters: 140, time: 0.309, data: 0.004) , G_GAN: 1.075, G_L1: 14.974, G_delta_bg: 0.000, D_real: 0.042, D_fake: 0.038

================ Training Loss (Wed Mar  4 16:00:15 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.308, data: 0.210) , G_GAN: 0.962, G_L1: 13.910, G_delta_bg: 0.000, D_real: 0.139, D_fake: 0.113

[Rank 0] (epoch: 1, iters: 200, time: 0.308, data: 0.004) , G_GAN: 0.993, G_L1: 13.649, G_delta_bg: 0.000, D_real: 0.068, D_fake: 0.056

[Rank 0] (epoch: 2, iters: 60, time: 0.308, data: 0.004) , G_GAN: 0.979, G_L1: 12.913, G_delta_bg: 0.000, D_real: 0.019, D_fake: 0.011

[Rank 0] (epoch: 2, iters: 160, time: 1.092, data: 0.004) , G_GAN: 1.084, G_L1: 13.687, G_delta_bg: 0.000, D_real: 0.061, D_fake: 0.060

[Rank 0] (epoch: 3, iters: 20, time: 0.310, data: 0.003) , G_GAN: 0.949, G_L1: 12.366, G_delta_bg: 0.000, D_real: 0.018, D_fake: 0.010

[Rank 0] (epoch: 3, iters: 120, time: 0.311, data: 0.004) , G_GAN: 0.897, G_L1: 13.534, G_delta_bg: 0.000, D_real: 0.034, D_fake: 0.020

[Rank 0] (epoch: 3, iters: 220, time: 0.308, data: 0.004) , G_GAN: 0.962, G_L1: 13.133, G_delta_bg: 0.000, D_real: 0.007, D_fake: 0.008

[Rank 0] (epoch: 4, iters: 80, time: 1.089, data: 0.004) , G_GAN: 0.975, G_L1: 13.054, G_delta_bg: 0.000, D_real: 0.013, D_fake: 0.030

[Rank 0] (epoch: 4, iters: 180, time: 0.309, data: 0.004) , G_GAN: 1.070, G_L1: 13.037, G_delta_bg: 0.000, D_real: 0.056, D_fake: 0.046

[Rank 0] (epoch: 5, iters: 40, time: 0.317, data: 0.004) , G_GAN: 0.787, G_L1: 12.655, G_delta_bg: 0.000, D_real: 0.483, D_fake: 0.454

[Rank 0] (epoch: 5, iters: 140, time: 0.335, data: 0.003) , G_GAN: 0.939, G_L1: 12.312, G_delta_bg: 0.000, D_real: 0.013, D_fake: 0.008

[Rank 0] (epoch: 5, iters: 240, time: 1.224, data: 0.004) , G_GAN: 1.022, G_L1: 12.473, G_delta_bg: 0.000, D_real: 0.008, D_fake: 0.005

================ Training Loss (Wed Mar  4 16:05:46 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.309, data: 0.206) , G_GAN: 0.991, G_L1: 63.643, G_delta_bg: 0.000, D_real: 0.068, D_fake: 0.069

[Rank 0] (epoch: 1, iters: 200, time: 0.309, data: 0.004) , G_GAN: 1.020, G_L1: 61.395, G_delta_bg: 0.000, D_real: 0.104, D_fake: 0.094

[Rank 0] (epoch: 2, iters: 60, time: 0.305, data: 0.006) , G_GAN: 1.042, G_L1: 63.217, G_delta_bg: 0.000, D_real: 0.043, D_fake: 0.035

