================ Training Loss (Fri Mar  6 10:49:14 2026) ================
[Rank 0] (epoch: 15, iters: 240, time: 0.882, data: 0.195) , G_GAN: 1.017, G_L1: 0.557, G_delta_bg: 0.223, G_delta: 7.575, G_grad: 0.525, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.021, D_fake: 0.005

[Rank 0] (epoch: 16, iters: 100, time: 0.242, data: 0.107) , G_GAN: 1.016, G_L1: 0.803, G_delta_bg: 0.242, G_delta: 13.821, G_grad: 0.614, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.009, D_fake: 0.006

================ Training Loss (Fri Mar  6 11:08:23 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.228, data: 0.110) , G_GAN: 0.801, G_L1: 1.252, G_delta_bg: 0.300, G_delta: 16.595, G_grad: 0.515, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.127, D_fake: 0.107

[Rank 0] (epoch: 1, iters: 200, time: 0.245, data: 0.138) , G_GAN: 1.085, G_L1: 1.394, G_delta_bg: 0.279, G_delta: 13.541, G_grad: 0.718, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.150, D_fake: 0.116

[Rank 0] (epoch: 2, iters: 60, time: 0.242, data: 0.169) , G_GAN: 0.950, G_L1: 1.108, G_delta_bg: 0.242, G_delta: 15.206, G_grad: 0.537, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.023, D_fake: 0.034

[Rank 0] (epoch: 2, iters: 160, time: 0.946, data: 0.141) , G_GAN: 0.978, G_L1: 1.257, G_delta_bg: 0.263, G_delta: 12.115, G_grad: 0.769, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.029, D_fake: 0.024

[Rank 0] (epoch: 3, iters: 20, time: 0.234, data: 0.180) , G_GAN: 1.094, G_L1: 0.880, G_delta_bg: 0.230, G_delta: 11.482, G_grad: 0.487, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.051, D_fake: 0.044

[Rank 0] (epoch: 3, iters: 120, time: 0.227, data: 0.108) , G_GAN: 1.062, G_L1: 1.716, G_delta_bg: 0.259, G_delta: 16.590, G_grad: 0.794, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.018, D_fake: 0.022

[Rank 0] (epoch: 3, iters: 220, time: 0.226, data: 0.109) , G_GAN: 1.004, G_L1: 0.815, G_delta_bg: 0.233, G_delta: 10.573, G_grad: 0.500, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.016, D_fake: 0.014

[Rank 0] (epoch: 4, iters: 80, time: 0.858, data: 0.105) , G_GAN: 1.022, G_L1: 1.693, G_delta_bg: 0.258, G_delta: 17.040, G_grad: 0.873, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.017, D_fake: 0.022

[Rank 0] (epoch: 4, iters: 180, time: 0.233, data: 0.140) , G_GAN: 0.999, G_L1: 1.507, G_delta_bg: 0.257, G_delta: 14.167, G_grad: 0.689, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.015, D_fake: 0.013

[Rank 0] (epoch: 5, iters: 40, time: 0.243, data: 0.178) , G_GAN: 1.011, G_L1: 0.917, G_delta_bg: 0.229, G_delta: 11.998, G_grad: 0.526, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.073, D_fake: 0.029

[Rank 0] (epoch: 5, iters: 140, time: 0.226, data: 0.109) , G_GAN: 1.041, G_L1: 1.532, G_delta_bg: 0.226, G_delta: 20.932, G_grad: 0.522, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.011, D_fake: 0.005

[Rank 0] (epoch: 5, iters: 240, time: 0.860, data: 0.104) , G_GAN: 1.051, G_L1: 2.125, G_delta_bg: 0.256, G_delta: 19.232, G_grad: 0.633, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.016, D_fake: 0.016

[Rank 0] (epoch: 6, iters: 100, time: 0.225, data: 0.102) , G_GAN: 1.076, G_L1: 1.216, G_delta_bg: 0.255, G_delta: 11.378, G_grad: 0.707, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, D_real: 0.184, D_fake: 0.163

